Изображение,Unicode,Название
,🤚,Поднятая тыльная сторона ладони
,🖐,Ладонь с растопыренными пальцами
,✋,Поднятая ладонь
,👌,OK
,🤌,Сжатые пальцы
,🤏,Щипок
,✌,Победа
,🤞,Скрещенные пальцы
,🤟,Люблю тебя
,🤘,Рок
,🤙,Позвони мне
,👈,Указательный палец влево
,👉,Указательный палец направо
,👆,Указательный палец вверх
,👇,Указательный палец вниз
,🫵,Указательный палец на смотрящего
,🖕,Средний палец
,🫱,Ладони вправо
,🫲,Ладонь влево
,🫳,Ладонь вниз
,🫴,Ладонь вверх
,🫷,Толкающая рука влево
,🫸,Толкающая рука вправо
,👍,Одобрение
,👎,Неодобрение
,✊,Поднятый кулак
,👊,Гнев
,🤛,Кулак влево
,🤜,Кулак вправо
