Жест,Изображение,Unicode,Название
0,,,Неизвестный жест
1,,🤚,Поднятая тыльная сторона ладони
2,,🖐,Ладонь с растопыренными пальцами
3,,✋,Поднятая ладонь
4,,👌,OK
5,,🤌,Сжатые пальцы
6,,🤏,Щипок
7,,✌,Победа
8,,🤞,Скрещенные пальцы
9,,🤟,Люблю тебя
10,,🤘,Рок
11,,🤙,Позвони мне
12,,👈,Указательный палец влево
13,,👉,Указательный палец направо
14,,👆,Указательный палец вверх
15,,👇,Указательный палец вниз
16,,🫵,Указательный палец на смотрящего
17,,🖕,Средний палец
18,,🫱,Ладони вправо
19,,🫲,Ладонь влево
20,,🫳,Ладонь вниз
21,,🫴,Ладонь вверх
22,,🫷,Толкающая рука влево
23,,🫸,Толкающая рука вправо
24,,👍,Одобрение
25,,👎,Неодобрение
26,,✊,Поднятый кулак
27,,👊,Гнев
28,,🤛,Кулак влево
29,,🤜,Кулак вправо
